min_time_above_threshold,normalized_threshold,square_loss,square_loss_norm,late_square_loss,outliers,commit_hash,nshots,square_loss_tq_norm,square_loss_cq_norm,square_loss_non_outliers,late_square_loss_non_outliers
0.001,0.4,6.848545567295569,0.0,6.74701242145919,0.2,c59fe6e,70.0,8.108109937812126,0.1876913978346434,0.15950383326829973,0.1560453884229743
0.001,0.45,0.0,0.0,0.0,0.0,,,,,,
0.001,0.5,6.676257410192477,0.0,6.569958991815404,0.15714285714285714,c59fe6e,70.0,6.962900821357745,0.1619101180401124,0.14298955966123886,0.1347658422752197
0.001,0.55,5.241364439233135,0.0,5.026409268683026,0.11428571428571428,c59fe6e,70.0,5.702545853473759,0.11972245097806274,0.14012010783832454,0.12423538203257087
0.001,0.6,6.983909463225674,0.0,4.996991551235447,0.1,c59fe6e,70.0,10.51465329518524,0.26302450178687803,0.21972026356903046,0.1542623897233916
0.001,0.6499999999999999,6.748977546544395,0.0,4.646707929808453,0.11428571428571428,c59fe6e,70.0,10.453993657083792,0.2899538262953146,0.23880590494181828,0.14377745906256773
0.001,0.7,11.761631478051207,0.0,4.637060663954253,0.14285714285714285,c59fe6e,70.0,12.218453881217457,0.7745846704698649,0.31799517678243544,0.1341301932083671
0.001,0.75,11.03684542338529,0.0,3.394336675334517,0.18571428571428572,c59fe6e,70.0,12.016020006789859,0.869542768188765,0.41564158228324705,0.13227614927840406
0.0015,0.4,6.4908931110940165,0.0,6.3893538750155345,0.15714285714285714,c59fe6e,70.0,6.381975172982786,0.15703631860421963,0.16866993425920235,0.16520539917177476
0.0015,0.45,0.0,0.0,0.0,0.0,,,,,,
0.0015,0.5,0.0,0.0,0.0,0.0,,,,,,
0.0015,0.55,0.0,0.0,0.0,0.0,,,,,,
0.0015,0.6,0.0,0.0,0.0,0.0,,,,,,
0.0015,0.6499999999999999,6.202779902017571,0.0,5.98550942996346,0.11428571428571428,c59fe6e,70.0,6.574261177669968,0.12462398189166261,0.21444991048642695,0.18072138378056551
0.0015,0.7,11.023550801991703,0.0,3.3443832524349624,0.14285714285714285,c59fe6e,70.0,12.91257143138864,0.9552473274235691,0.31809252067665933,0.13422161458151452
0.0015,0.75,10.812704181573,0.0,1.8036828327649939,0.22857142857142856,c59fe6e,70.0,12.678343424018964,1.2380959506223763,0.43075797964638024,0.1327072241144161
0.002,0.4,5.181872063521843,0.0,5.080336717636467,0.11428571428571428,c59fe6e,70.0,5.0799312035348425,0.12442714648763942,0.1733218482235177,0.16985674127710176
0.002,0.45,4.98119242901258,0.0,4.877615695561117,0.08571428571428572,c59fe6e,70.0,4.8190439704122205,0.10343508857840338,0.15392851775459757,0.14842202324209391
0.002,0.5,4.983186959571255,0.0,4.858831551217254,0.08571428571428572,c59fe6e,70.0,4.823654050904946,0.09908202991128638,0.1403817561871786,0.12963787889823197
0.002,0.55,5.692602179950516,0.0,4.804724404399626,0.08571428571428572,c59fe6e,70.0,5.908590056581558,0.15097971679659813,0.1433221155980832,0.12743611236058794
0.002,0.6,7.13154202210806,0.0,4.772197650506556,0.08571428571428572,c59fe6e,70.0,11.479491440818055,0.33661327000872815,0.21981413065226463,0.15436103161578996
0.002,0.6499999999999999,4.402528099647011,0.0,1.8153393838480054,0.1,c59fe6e,70.0,8.964772761354357,0.4242872438647251,0.2393665909291995,0.1443399337863073
0.002,0.7,9.575942585744889,0.0,1.8054684814259745,0.12857142857142856,c59fe6e,70.0,10.952863427838347,0.9570644942098148,0.4096335285999689,0.13446903136427577
0.002,0.75,44.07779481042832,0.0,0.3555101568454895,0.21428571428571427,c59fe6e,70.0,29.34917706794696,3.075209485136547,0.43404928456282843,0.13600151076361094
0.0025,0.4,5.181851483818611,0.0,5.080312554140384,0.11428571428571428,c59fe6e,70.0,5.0799293094373725,0.1244324938492709,0.1733204438027176,0.16985621511554477
0.0025,0.45,0.0,0.0,0.0,0.0,,,,,,
0.0025,0.5,3.3751740102020444,0.0,3.268868557769993,0.07142857142857142,c59fe6e,70.0,2.750848492998944,0.09702005450713261,0.14699265307046885,0.13876190162947105
0.0025,0.55,3.7528588987883382,0.0,1.960493900987337,0.08571428571428572,c59fe6e,70.0,4.696889334498602,0.28650013623863674,0.14067914868155004,0.12479429595935128
0.0025,0.6,4.290405889877132,0.0,1.9310654200984594,0.07142857142857142,c59fe6e,70.0,8.522660959071958,0.3249767720441597,0.22027097632358955,0.1548174882187452
0.0025,0.6499999999999999,0.0,0.0,0.0,0.0,,,,,,
0.0025,0.7,4.921169494487211,0.0,1.8122924632901292,0.11428571428571428,c59fe6e,70.0,9.314422190867607,0.4820242694073062,0.4049512638201718,0.14129968872525103
0.0025,0.75,0.0,0.0,0.0,0.0,,,,,,
0.003,0.4,14423.337475615159,0.0,0.44556892287149574,0.15714285714285714,c59fe6e,70.0,51324.86439613148,10714.308868276239,0.31983567390524364,0.1658644266437859
0.003,0.45,3.382583544673442,0.0,3.279007295011054,0.07142857142857142,c59fe6e,70.0,2.754715944440076,0.09683998056625502,0.1543899602693049,0.14888394954587705
0.003,0.5,2.7324881590128385,0.0,2.0177150360496867,0.07142857142857142,c59fe6e,70.0,2.3549273610011894,0.13911876375938037,0.14084413837766588,0.13009949218279895
0.003,0.55,4.175187873462187,0.0,1.9605043679055492,0.08571428571428572,c59fe6e,70.0,8.144384505004348,0.30902368854334444,0.14067871567418802,0.12479420431864482
0.003,0.6,0.0,0.0,0.0,0.0,,,,,,
0.003,0.6499999999999999,0.0,0.0,0.0,0.0,,,,,,
0.003,0.7,4.648765058204577,0.0,1.9280483229130774,0.08571428571428572,c59fe6e,70.0,8.728648824772367,0.3579715298720938,0.24614636109571886,0.15178288446457394
0.003,0.75,0.0,0.0,0.0,0.0,,,,,,
0.0035,0.4,13.16849785768387,0.0,0.15474306648364314,0.18571428571428572,c59fe6e,70.0,25.91006448002415,1.6819072290369972,0.4363042274548077,0.15474306648364314
0.0035,0.45,2.1400585641659924,0.0,2.0364818478350717,0.07142857142857142,c59fe6e,70.0,1.862355618110355,0.0917941099133454,0.15439028792893333,0.1488838105369731
0.0035,0.5,2.7324707351250916,0.0,2.0176976289203097,0.07142857142857142,c59fe6e,70.0,2.3549246340083596,0.13912017517078037,0.14084422105870859,0.13009959162221132
0.0035,0.55,4.1751476146806095,0.0,1.9604834980119903,0.08571428571428572,c59fe6e,70.0,8.144156258002953,0.30901987063239233,0.14067719516265825,0.12479084099387541
0.0035,0.6,4.290404340460935,0.0,1.9310612764182382,0.07142857142857142,c59fe6e,70.0,8.522695019802791,0.32497517168798246,0.22026875980584282,0.15481334453852416
0.0035,0.6499999999999999,4.186920656586133,0.0,1.599681240956514,0.08571428571428572,c59fe6e,70.0,8.745007603823145,0.4127428718367513,0.2432177499802688,0.1481904369766942
0.0035,0.7,8.435441296953217,0.0,0.14154912312312215,0.12857142857142856,c59fe6e,70.0,10.231202313716196,1.0247842908301268,0.4824969911522427,0.14154912312312215
0.0035,0.75,49.28379170954988,0.0,0.13580203675560518,0.22857142857142856,c59fe6e,70.0,32.385443455994746,3.344100311348482,0.43385530836171254,0.13580203675560518
0.004,0.4,2.340744407720718,0.0,2.2392098553148507,0.1,c59fe6e,70.0,2.123256969145796,0.11279178875325709,0.17378982744331567,0.17032551397640858
0.004,0.45,2.1400650740991156,0.0,2.036488824074554,0.07142857142857142,c59fe6e,70.0,1.862373001814618,0.0917950346754716,0.1543967978620567,0.1488907867764551
0.004,0.5,2.7324747094818176,0.0,2.0177023554245865,0.07142857142857142,c59fe6e,70.0,2.3549237241124286,0.13912420868778277,0.14084819541543447,0.13010431812648782
0.004,0.55,4.175139717530746,0.0,1.9604937068583077,0.08571428571428572,c59fe6e,70.0,8.144153812844591,0.3090209642268465,0.14068568094187103,0.1248010498401928
0.004,0.6,4.027663652713976,0.0,1.6683378536361917,0.05714285714285714,c59fe6e,70.0,8.254580623556807,0.31089806807259085,0.2241395002602563,0.1586839592727339
0.004,0.6499999999999999,2.741995170900978,0.0,0.15480326730136132,0.07142857142857142,c59fe6e,70.0,7.707071287857387,0.4068577355294639,0.24983071085255482,0.15480326730136132
